"Pair_ID","Forward","Reverse","Distance","Coexpression_Coefficient","BH","DE_Forward","DE_Reverse","Count"
"Pair_787","TraesCS5D02G345500","TraesCS5D02G345400",123,0,0.952799512099599,"","",0
"Pair_788","TraesCS5D02G347300","TraesCS5D02G347200",581,0.38,0,"","",0
"Pair_789","TraesCS5D02G351700","TraesCS5D02G351600",698,0.72,0,"","",0
"Pair_79","TraesCS1B02G439700","TraesCS1B02G439600",627,-0.24,3.38626150058437e-14,"","DH ",0
"Pair_790","TraesCS5D02G390000","TraesCS5D02G389900",620,-0.03,0.440161495504088,"","",0
"Pair_791","TraesCS5D02G392500","TraesCS5D02G392400",452,0.72,0,"4v23 ","4v23 DH ",2
"Pair_792","TraesCS5D02G394200","TraesCS5D02G394100",192,0.31,0,"","MS 4v23 DH ",0
"Pair_793","TraesCS5D02G396900","TraesCS5D02G396800",585,0.19,1.85801880273501e-09,"","",0
"Pair_794","TraesCS5D02G397200","TraesCS5D02G397100",287,0.12,0.000271294405282749,"4v23 ","",0
"Pair_795","TraesCS5D02G399300","TraesCS5D02G399200",570,0.48,0,"4v23 ","4v23 DH ",2
"Pair_796","TraesCS5D02G418800","TraesCS5D02G418700",158,0.7,0,"4v23 ","",0
"Pair_797","TraesCS5D02G425700","TraesCS5D02G425600",227,0.07,0.0534733001058321,"","4v23 ",0
"Pair_798","TraesCS5D02G429200","TraesCS5D02G429100",130,0.68,0,"","4v23 ",0
"Pair_799","TraesCS5D02G430600","TraesCS5D02G430500",194,0.52,0,"4v23 DH ","DH ",2
"Pair_8","TraesCS1A02G086900","TraesCS1A02G086800",225,0.39,0,"4v23 ","4v23 ",1
"Pair_80","TraesCS1B02G453500","TraesCS1B02G453400",993,0.03,0.408523593381191,"","",0
"Pair_800","TraesCS5D02G431900","TraesCS5D02G431800",163,0.13,7.72855049195876e-05,"","4v23 ",0
"Pair_801","TraesCS5D02G432300","TraesCS5D02G432200",203,0.68,0,"4v23 ","4v23 ",1
"Pair_802","TraesCS5D02G434700","TraesCS5D02G434600",283,0.36,0,"MS 4v23 DH ","4v23 ",3
"Pair_803","TraesCS5D02G441700","TraesCS5D02G441600",493,0.8,0,"","",0
"Pair_804","TraesCS5D02G445100","TraesCS5D02G445000",489,0.19,3.5600218422406e-09,"4v23 ","4v23 ",1
"Pair_805","TraesCS5D02G446600","TraesCS5D02G446500",200,0.4,0,"MS 4v23 ","4v23 DH ",4
"Pair_806","TraesCS5D02G452900","TraesCS5D02G452800",319,0.9,0,"","4v23 ",0
"Pair_807","TraesCS5D02G458000","TraesCS5D02G457800",847,0.05,0.14958917518544,"","",0
"Pair_808","TraesCS5D02G459200","TraesCS5D02G459100",663,0.01,0.756412288227634,"","",0
"Pair_809","TraesCS5D02G471300","TraesCS5D02G471200",262,0.16,6.09334473014385e-07,"4v23 DH ","MS 4v23 ",4
"Pair_81","TraesCS1B02G458600","TraesCS1B02G458500",964,-0.01,0.91571903171319,"","",0
"Pair_810","TraesCS5D02G480000","TraesCS5D02G479900",195,0.44,0,"","MS 4v23 ",0
"Pair_811","TraesCS5D02G501300","TraesCS5D02G501200",182,0.07,0.0449232139550986,"4v23 DH ","MS 4v23 ",4
"Pair_812","TraesCS5D02G524000","TraesCS5D02G523900",980,0.66,0,"","",0
"Pair_813","TraesCS5D02G531000","TraesCS5D02G530900",163,0.16,5.37326960085547e-07,"","4v23 ",0
"Pair_814","TraesCS5D02G541400","TraesCS5D02G541300",743,-0.08,0.0106919887061003,"","",0
"Pair_815","TraesCS5D02G553600","TraesCS5D02G553500",194,0.05,0.147533419938084,"MS 4v23 ","4v23 ",2
"Pair_816","TraesCS5D02G555100","TraesCS5D02G555000",143,0.57,0,"4v23 ","MS ",1
"Pair_817","TraesCS5D02G559700","TraesCS5D02G559600",103,-0.02,0.680956531115823,"","",0
"Pair_818","TraesCS6A02G037900","TraesCS6A02G037800",782,0.3,0,"4v23 GO ","MS DH ",4
"Pair_819","TraesCS6A02G069400","TraesCS6A02G069200",120,0.54,0,"4v23 ","MS ",1
"Pair_82","TraesCS1B02G478200","TraesCS1B02G478100",138,0.56,0,"","",0
"Pair_820","TraesCS6A02G074200","TraesCS6A02G074100",101,0.16,4.37611705839356e-07,"4v23 ","",0
"Pair_821","TraesCS6A02G088000","TraesCS6A02G087900",789,0.4,0,"","",0
"Pair_822","TraesCS6A02G101700","TraesCS6A02G101600",153,0.4,0,"MS 4v23 ","4v23 DH ",4
"Pair_823","TraesCS6A02G126800","TraesCS6A02G126700",254,0.61,0,"","",0
"Pair_824","TraesCS6A02G136000","TraesCS6A02G135900",934,-0.01,0.866761045652646,"","",0
"Pair_825","TraesCS6A02G151200","TraesCS6A02G151100",270,0.66,0,"4v23 ","4v23 DH ",2
"Pair_826","TraesCS6A02G167300","TraesCS6A02G167200",792,-0.08,0.0142724113448804,"4v23 DH ","MS 4v23 ",4
"Pair_827","TraesCS6A02G168000","TraesCS6A02G167900",475,0.47,0,"","MS 4v23 DH ",0
"Pair_828","TraesCS6A02G180100","TraesCS6A02G180000",638,-0.01,0.91571903171319,"","",0
"Pair_829","TraesCS6A02G180800","TraesCS6A02G180700",228,-0.03,0.470207578738938,"MS 4v23 DH ","MS ",3
"Pair_83","TraesCS1B02G479700","TraesCS1B02G479600",993,0.32,0,"","",0
"Pair_830","TraesCS6A02G190900","TraesCS6A02G190800",141,0.12,0.000334647881903741,"4v23 DH ","",0
"Pair_831","TraesCS6A02G192000","TraesCS6A02G191800",847,-0.01,0.907125709610277,"","",0
"Pair_832","TraesCS6A02G192100","TraesCS6A02G191900",382,0.32,0,"","",0
"Pair_833","TraesCS6A02G217500","TraesCS6A02G217400",451,0.24,8.30893539376271e-15,"","DH ",0
"Pair_834","TraesCS6A02G219200","TraesCS6A02G219100",113,0.67,0,"4v23 DH ","MS 4v23 ",4
"Pair_835","TraesCS6A02G221300","TraesCS6A02G221200",183,0.55,0,"DH ","",0
"Pair_836","TraesCS6A02G228100","TraesCS6A02G228000",177,0.7,0,"4v23 DH ","",0
"Pair_837","TraesCS6A02G233500","TraesCS6A02G233400",389,0.2,3.01107569213407e-10,"","",0
"Pair_838","TraesCS6A02G238600","TraesCS6A02G238500",178,-0.05,0.180034641938287,"","MS ",0
"Pair_839","TraesCS6A02G258300","TraesCS6A02G258200",478,0.03,0.517771056687791,"4v23 DH ","",0
"Pair_84","TraesCS1D02G008300","TraesCS1D02G008200",671,NA,NA,"","",0
"Pair_840","TraesCS6A02G261600","TraesCS6A02G261500",542,-0.05,0.173499006355758,"","",0
"Pair_841","TraesCS6A02G287200","TraesCS6A02G287100",269,0.02,0.664630083888154,"MS DH ","",0
"Pair_842","TraesCS6A02G292800","TraesCS6A02G292700",435,0.24,9.76077908798956e-15,"10v14 ","",0
"Pair_843","TraesCS6A02G316300","TraesCS6A02G316200",293,-0.01,0.91571903171319,"MS 4v23 ","4v23 GO ",4
"Pair_844","TraesCS6A02G318300","TraesCS6A02G318200",142,0.19,2.34018077472804e-09,"4v23 ","4v23 ",1
"Pair_845","TraesCS6A02G340400","TraesCS6A02G340300",180,-0.06,0.0590710706079805,"DH ","10v14 MS 4v23 ",3
"Pair_846","TraesCS6A02G367600","TraesCS6A02G367500",425,0.02,0.745442700824088,"","",0
"Pair_847","TraesCS6A02G377900","TraesCS6A02G377800",141,-0.01,0.888551189857823,"4v23 DH ","4v23 DH ",4
"Pair_848","TraesCS6A02G385700","TraesCS6A02G385600",277,0.47,0,"4v23 DH ","",0
"Pair_849","TraesCS6A02G386000","TraesCS6A02G385900",193,0.44,0,"4v23 ","4v23 ",1
"Pair_85","TraesCS1D02G017800","TraesCS1D02G017700",536,0.97,0,"4v23 ","4v23 ",1
"Pair_850","TraesCS6A02G408100","TraesCS6A02G408000",306,0.26,0,"MS ","",0
"Pair_851","TraesCS6A02G409200","TraesCS6A02G409100",605,0.3,0,"4v23 ","",0
"Pair_852","TraesCS6A02G415931","TraesCS6A02G415900",749,0,0.952799512099599,"","",0
"Pair_853","TraesCS6B02G003500","TraesCS6B02G003400",236,0.41,0,"","",0
"Pair_854","TraesCS6B02G010200","TraesCS6B02G010100",651,0.23,1.80133287530573e-13,"","",0
"Pair_855","TraesCS6B02G040200","TraesCS6B02G040100",495,-0.01,0.866098390536501,"","",0
"Pair_856","TraesCS6B02G053000","TraesCS6B02G052900",200,0.49,0,"MS DH ","4v23 GO ",4
"Pair_857","TraesCS6B02G099900","TraesCS6B02G100000",656,0.96,0,"4v23 ","",0
"Pair_858","TraesCS6B02G129700","TraesCS6B02G129600",152,0.6,0,"MS 4v23 ","4v23 DH ",4
"Pair_859","TraesCS6B02G163200","TraesCS6B02G163100",359,0.16,2.29167319175006e-07,"MS ","MS 4v23 DH ",3
"Pair_86","TraesCS1D02G018000","TraesCS1D02G017900",536,0.69,0,"4v23 ","4v23 ",1
"Pair_860","TraesCS6B02G172900","TraesCS6B02G172800",967,-0.07,0.0427267069986352,"","4v23 ",0
"Pair_861","TraesCS6B02G186000","TraesCS6B02G185900",871,0.21,3.85628051230677e-11,"","",0
"Pair_862","TraesCS6B02G204800","TraesCS6B02G204700",535,-0.01,0.870382144665133,"MS ","MS 4v23 DH ",3
"Pair_863","TraesCS6B02G216600","TraesCS6B02G216500",201,0,0.972323079418512,"","",0
"Pair_864","TraesCS6B02G222300","TraesCS6B02G222200",849,0.06,0.0632986197731517,"","",0
"Pair_865","TraesCS6B02G232300","TraesCS6B02G232200",264,-0.01,0.897808044694358,"","",0
"Pair_866","TraesCS6B02G247300","TraesCS6B02G247200",173,0.33,0,"","DH ",0
"Pair_867","TraesCS6B02G248700","TraesCS6B02G248600",103,0.69,0,"4v23 DH ","MS 4v23 ",4
"Pair_868","TraesCS6B02G256900","TraesCS6B02G256800",672,-0.06,0.0648388771998074,"4v23 DH ","",0
"Pair_869","TraesCS6B02G260000","TraesCS6B02G259900",173,0.51,0,"","",0
"Pair_87","TraesCS1D02G019700","TraesCS1D02G019600",542,NA,NA,"4v23 ","",0
"Pair_870","TraesCS6B02G261400","TraesCS6B02G261300",502,0.46,0,"","",0
"Pair_871","TraesCS6B02G316400","TraesCS6B02G316300",264,0.03,0.425561105974783,"MS DH ","",0
"Pair_872","TraesCS6B02G329000","TraesCS6B02G328900",100,0.71,0,"DH ","DH ",1
"Pair_873","TraesCS6B02G346800","TraesCS6B02G346700",456,-0.04,0.329141401853343,"MS 4v23 ","4v23 ",2
"Pair_874","TraesCS6B02G348300","TraesCS6B02G348200",168,0.19,8.29569617525457e-10,"4v23 ","4v23 ",1
"Pair_875","TraesCS6B02G349700","TraesCS6B02G349600",766,0.19,4.43398552354254e-09,"","",0
